url,label
en.wikipedia.org/wiki/Xiamen_Airlines,good
ksol.co.uk/contents/Default.aspx,good
youtube.com/watch?v=wR-b3u6B2BQ,good
antiqueradios.com/forums/viewtopic.php?t=148579,good
historical-deaths.blogspot.com/,good
seekingalpha.com/article/290445-the-end-of-the-world-part-i,good
wapipedia.org/wikipedia/mobileindex.php?let=HO,good
nla.gov.au/nla.news-article16607002,good
turnercody.bandcamp.com/,good
en.structurae.de/structures/data/index.cfm?ID=s0002535,good
telegraph.co.uk/culture/music/michael-jackson/5654551/Michael-Jackson-Lily-Allen-wears-white-glove-in-tribute-at-Glastonbury.html,good
pt.goldenmap.com/Boileau,good
mxp1064.com,bad
sublet.com/town_rentals/quebec-montrealarea/sherbrooke_rentals.asp,good
apkmandroid.com/2015/10/blog-post_19.html,bad
tunein.com/radio/CISM-FM-893-s24807/,good
montreal-business-kit.com/ile-bizard-sainte-genevieve.html,good
goodreads.com/author/show/2539023.St_phane_Hessel,good
financialservicesinc.ubs.com/fa/robertmorin/,good
diggsamachar.com/grocery/grocery.htm,good
mmajunkie.com/news/21178/former-title-challenger-patrick-cote-confirms-ufc-release.mma,good
available.pearlstorehouse.net/ltddc8ye5w\none.hrietolewox.biz/kleph.cgi?12,bad
seekingmillionaire.com/United%20States/Michigan/Lowell/,good
radiostreamingpopmusic.blogspot.com/,good
uk.linkedin.com/in/johnjabbott,good
jasonlytle.bandcamp.com/,good
url.snd17.ch/url-677041563-2830495-22012016.html,bad
hipsterrunoff.com/tag/arcade-fire,good
mitglied.multimania.de/dvytioy/phil-fuld2/vivagrshed.html,good
sjsu.edu/faculty/watkins/hieroglyphics.htm,good
taylormomsenblog.blogspot.com/2011/11/taylor-interviewed-for-musiqueplus.html,good
projects.latimes.com/hollywood/star-walk/harrison-ford-silent/,good
soundtrackderby.co.uk/,good
pipl.com/directory/name/Labriola/Jean,good
alexa.com/siteinfo/1up.com,good
navy.mil/search/display.asp?story_id=60561,good
fruityloopstudiosamples.com/,good
buyerzone.com/local2/d/37996A6C29E0EC12E040007F010018A6.html,good
baseball-reference.com/bullpen/Steve_Busby,good
motion.kodak.com/motion/Products/Production/Black_And_White_Reversal_Films/7266.htm,good
hughsnews.ca/tag/mpeg-4-mvc,good
couponandme.com/wp-content/plugins/login/,bad
imdb.com/title/tt0091251/,good
youtube.com/watch?v=-xuugq7fito,good
youtube.com/watch?v=NuF_ujlhM6c,good
en.wikipedia.org/wiki/Bob_Brookmeyer,good
itunes.apple.com/us/album/brian-hyland/id215136696,good
antsgems.blogspot.com/,good
filecatch.com/?q=ross+macdonald+ebooks,good
bruceramsaydundee.albapharm.co.uk/,good
telegraph.co.uk/culture/books/philip-larkin/8062118/Philip-Larkin-Letters-to-Monica-ed-by-Anthony-Thwaite-review.html,good
info-setting2016.twomini.com/5/Re-Confirm.Htm,bad
montreal-news.com/television_stations/,good
weather.com/weather/today/Bromley+Mountain+VT+USVT0030,good
myspace.com/patcote,good
superiorpics.com/bob_newhart/,good
en.wikipedia.org/wiki/Patrice,good
wc.rootsweb.ancestry.com/cgi-bin/igm.cgi?op=REG&db=thomas281&id=I042527,good
facebook.com/pages/-Kbwf-THE-Wulf-Venice-MuSIC-Radio/232652890111932,good
davidsroyalgolfballs.net/inlist.htm,good
avaxhome.ws/music/jazz/Bill_Plummer_The_Cosmic_Brotherhood.html,good
isbn2book.com/q/olwen/,good
cornerstoneondemand.com/gap-analysis-succession-planning,good
gavinmorris.weebly.com/,good
oklahomacitygasprices.com/Norman/index.aspx,good
en.wikipedia.org/wiki/HMCS_Mayflower_(K191),good
boston.com/yourtown/needham/articles/2009/08/23/married_couple_achieve_rare_oakley_cc_golf_feat/,good
vz3.blur.com/work/detail/nickelodeon-kids-choice-,good
swic.edu/divbusiness/,good
communitypartnersjc.org/wp-admin/images/index/,bad
grotown.com/dropboxinvestmentporfolio/,bad
destination360.com/caribbean/martinique/fort-de-france,good
mail.python.org/pipermail/python-list/2006-February/367119.html,good
reuters.com/finance/stocks/analyst?symbol=EXPO.O,good
flickr.com/photos/brighton/2703589289/,good
usatoday.com/sports/football/nfl/2007-08-01-hall-of-fame-capsules_N.htm,good
ovguide.com/miss-pettigrew-lives-for-a-day-9202a8c04000641f8000000005649ee9,good
en.wikipedia.org/wiki/1982_Oakland_Athletics_season,good
mynhldraft.com/2009-NHL-Mock-Draft/,good
shambhalasun.com/sunspace/?p=22925,good
cse.unr.edu/~forman/shc.html,good
4icu.org/reviews/9194.htm,good
uticaparkclinic.com/blaine-price-do,good
nbatipoff.com/2010/12/is-joel-anthony-really-bad-offensive.html,good
snarkerati.com/galleries/index.php/Brigitte-Bako,good
olfen.kontinental.org.in/directory/usa/,bad
zoominfo.com/people_directory/professional_profile/T-2-202534,good
jcshome.net/genealogy/individuals.html,good
cyclingart.blogspot.com/2011/09/grand-prix-cycliste-de-montreal-quebec.html,good
edypkogbhlgj.info/upload/_dispatch.php,bad
daviddust.blogspot.com/2008/09/daddy-of-day-david-mcintosh.html,good
home.gwi.net/~frenchgen/correct1.htm,good
qtmoko.sourceforge.net/,good
manta.com/c/mmzzbh9/kenneth-i-tobey-inc,good
wiki.answers.com/Q/When_was_Ignace_Paderewski_born,good
artelstroy.info/CIZhnyxl5/It4UFfah.php,bad
com.umontreal.ca/personnel/line_grenier-en.html,good
prohockeytalk.nbcsports.com/2011/07/14/money-matters-canadiens-win-tax-squabble-with-montreal-alberta-wont-fund-oilers-new-arena/,good
worldofsoundtrack.blogspot.com/,good
alanblackshaw.net/E/Kijiji.ca/d/es/auth/view/document/,bad
psicologiadellaudiovisivo.it/modules/secure-account/Arch/Arch/Archive/,bad
b.ems.to/fw/t/V-1X:bT.h:t7m6q,bad
facebook.com/pages/Canadawide-Flowers/164544530229080,good
acronyms.thefreedictionary.com/Canadian+National+Railway,good
counsellingconnection.com/index.php/2009/05/07/ta-and-eric-berne/,good
vegetarianstar.com/2009/06/01/happy-vegan-day-georges-laraque/,good
server2531.perimetercomputer.com/~migrate/cgi-bin/files/1/home/,bad
rapiderbariyer.com/7832ghd,bad
bamatrails.com/,good
whosdatedwho.com/tpx_26338/robert-joy/,good
imdb.com/title/tt0437729/,good
linedrive.blogs.goupstate.com/10280/rome-braves-rough-up-brandon-workman-in-greenville-drive-homestand-finale/,good
corporationwiki.com/Florida/Sarasota/jacqueline-d-oke-P5621372.aspx,good
mylife.com/high-schools/ca/oakland/holy-names-high-school/,good
doctorksa.com/app/webroot/js/kcfinder/upload/files/mailbox/index.php,bad
biomedexperts.com/Profile.bme/1270871/Charles_R_Scriver,good
ndfhj.org/maxe/,bad
uptownmessenger.com/2011/05/irish-channel-corner-store-ecole-bilingue-childcare-center-receive-planning-commission-approval/,good
ebay.com/sch/i.html?_nkw=477+don+ferrarese,good
sfbayview.com/2009/all-gas-no-brakes-an-inner-view-of-oakland-rapper-shady-nate/,good
advocate.com/News/Daily_News/2011/06/21/Miss_USA_on_Gay_Marriage/,good
scribd.com/doc/30322036/NFL-Draft-Features-Defense,good
bbb.org/kansas-city/business-reviews/television-stations-and-broadcast-companies/kmbc-tv-9-in-kansas-city-mo-30030001/,good
jpopasia.com/play/29700/arashi/to-be-free.html,good
rcrdlbl.com/artists/Tim_Hecker/track/Sketch_5,good
mafia.wikia.com/wiki/Nicholas_%22Nick%22_Civella,good
tripadvisor.com/Restaurant_Review-g186273-d2035469-Reviews-The_Loop_Cafe_Bar_and_Coffee_House-Brighton_East_Sussex_England.html,good
usspecbook.com/WA/Zillah,good
autograph-sports.com/s1_Al_Hrabosky.asp,good
enotes.com/topic/1997_Nebraska_Cornhuskers_football_team,good
observer.com/2011/08/thrown-out-mlb-all-star-doug-decinces-charged-with-insider-trading/,good
onionring.co.uk/restaurants/restaurant_info.asp?RID=8370,good
amazon.com/Disney-Animation-Collection-Mickey-Beanstalk/dp/B001PK47GC,good
fanpix.net/gallery/dorothy-abbott-pictures.htm,good
dinas.tomsk.ru/js/,bad
